OP_absence,OP_exist,OP_rhythem,S_absence,S_exist,S_rhythem,pattern_diff,pattern_same
Bacteroides.heparinolyticus_P24,Aggregatibacter.actinomycetemcomitans_P16,Haemophilus.haemolyticus_P26,Gemella.morbillorum_P24,Actinomyces.weissii_P06,Campylobacter.showae_P23,,
Bacteroides.heparinolyticus_P25,Aggregatibacter.actinomycetemcomitans_P22,Haemophilus.influenzae_P06,Haemophilus.haemolyticus_P05,Actinomyces.weissii_P08,Campylobacter.showae_P24,,
Bacteroides.heparinolyticus_P26,Aggregatibacter.actinomycetemcomitans_P26,Haemophilus.influenzae_P07,Haemophilus.influenzae_P05,Actinomyces.weissii_P11,Campylobacter.showae_P26,,
Bacteroides.heparinolyticus_P27,Aggregatibacter.sp..oral.taxon.513_P03,Haemophilus.influenzae_P13,Haemophilus.parahaemolyticus_P17,Actinomyces.weissii_P13,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P03,,
Campylobacter.showae_P05,Aggregatibacter.sp..oral.taxon.513_P08,Haemophilus.influenzae_P14,Haemophilus.parahaemolyticus_P18,Actinomyces.weissii_P15,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P07,,
Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P18,Aggregatibacter.sp..oral.taxon.513_P09,Haemophilus.influenzae_P15,Haemophilus.parahaemolyticus_P24,Actinomyces.weissii_P16,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P14,,
Capnocytophaga.endodontalis_P05,Aggregatibacter.sp..oral.taxon.513_P14,Haemophilus.influenzae_P19,Haemophilus.pittmaniae_P05,Actinomyces.weissii_P19,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P17,,
Capnocytophaga.endodontalis_P06,Aggregatibacter.sp..oral.taxon.513_P16,Haemophilus.influenzae_P20,Haemophilus.pittmaniae_P06,Actinomyces.weissii_P21,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P19,,
Capnocytophaga.endodontalis_P15,Aggregatibacter.sp..oral.taxon.513_P17,Haemophilus.influenzae_P23,Haemophilus.pittmaniae_P07,Actinomyces.weissii_P22,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P20,,
Capnocytophaga.endodontalis_P17,Aggregatibacter.sp..oral.taxon.513_P19,Haemophilus.influenzae_P24,Haemophilus.pittmaniae_P08,Actinomyces.weissii_P24,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P23,,
Capnocytophaga.endodontalis_P18,Aggregatibacter.sp..oral.taxon.513_P20,Haemophilus.influenzae_P26,Haemophilus.pittmaniae_P09,Actinomyces.weissii_P25,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P25,,
Capnocytophaga.endodontalis_P23,Aggregatibacter.sp..oral.taxon.513_P21,Haemophilus.parahaemolyticus_P07,Haemophilus.pittmaniae_P13,Actinomyces.weissii_P26,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P26,,
Capnocytophaga.endodontalis_P25,Aggregatibacter.sp..oral.taxon.513_P22,Haemophilus.parahaemolyticus_P08,Haemophilus.pittmaniae_P17,Actinomyces.wuliandei_P03,Capnocytophaga.endodontalis_P07,,
Capnocytophaga.sp..FDAARGOS_737_P05,Aggregatibacter.sp..oral.taxon.513_P24,Haemophilus.parahaemolyticus_P09,Haemophilus.pittmaniae_P18,Actinomyces.wuliandei_P07,Capnocytophaga.endodontalis_P08,,
Capnocytophaga.sp..FDAARGOS_737_P06,Aggregatibacter.sp..oral.taxon.513_P26,Haemophilus.parahaemolyticus_P11,Haemophilus.pittmaniae_P19,Actinomyces.wuliandei_P08,Capnocytophaga.endodontalis_P09,,
Capnocytophaga.sp..FDAARGOS_737_P13,Aggregatibacter.sp..oral.taxon.513_P27,Haemophilus.parahaemolyticus_P13,Haemophilus.pittmaniae_P20,Actinomyces.wuliandei_P11,Capnocytophaga.endodontalis_P17,,
Capnocytophaga.sp..FDAARGOS_737_P24,Bacteroides.heparinolyticus_P07,Haemophilus.parahaemolyticus_P14,Haemophilus.pittmaniae_P22,Actinomyces.wuliandei_P13,Capnocytophaga.endodontalis_P18,,
Cardiobacterium.hominis_P06,Bacteroides.heparinolyticus_P17,Haemophilus.parahaemolyticus_P15,Haemophilus.pittmaniae_P23,Actinomyces.wuliandei_P14,Capnocytophaga.endodontalis_P22,,
Caudovirales.sp._P13,Bacteroides.heparinolyticus_P22,Haemophilus.parahaemolyticus_P22,Haemophilus.pittmaniae_P24,Actinomyces.wuliandei_P15,Capnocytophaga.endodontalis_P23,,
Caudovirales.sp._P17,Bacteroides.heparinolyticus_P23,Haemophilus.parahaemolyticus_P26,Haemophilus.pittmaniae_P25,Actinomyces.wuliandei_P16,Capnocytophaga.endodontalis_P24,,
Caudovirales.sp._P18,Campylobacter.concisus_P03,Haemophilus.sp..oral.taxon.036_P06,Haemophilus.pittmaniae_P27,Actinomyces.wuliandei_P17,Capnocytophaga.endodontalis_P25,,
Caudovirales.sp._P20,Campylobacter.concisus_P05,Haemophilus.sp..oral.taxon.036_P07,Haemophilus.sp..oral.taxon.036_P05,Actinomyces.wuliandei_P19,Capnocytophaga.endodontalis_P26,,
Corynebacterium.matruchotii_P06,Campylobacter.concisus_P06,Haemophilus.sp..oral.taxon.036_P08,Haemophilus.sp..oral.taxon.036_P13,Actinomyces.wuliandei_P21,Capnocytophaga.sp..FDAARGOS_737_P07,,
